image_id,true_class,pred_class,confidence,correct,target,n_masks,raw_path
ISIC_0028941,akiec,akiec,0.4566575884819031,True,pred,500,ham10000/results/xai/rise/convnext-tiny_fold3/raw/correct/00_ISIC_0028941_pred.npy
ISIC_0031421,akiec,akiec,0.8886157274246216,True,pred,500,ham10000/results/xai/rise/convnext-tiny_fold3/raw/correct/01_ISIC_0031421_pred.npy
ISIC_0033000,akiec,akiec,0.980678379535675,True,pred,500,ham10000/results/xai/rise/convnext-tiny_fold3/raw/correct/02_ISIC_0033000_pred.npy
ISIC_0025696,akiec,akiec,0.9970570802688599,True,pred,500,ham10000/results/xai/rise/convnext-tiny_fold3/raw/correct/03_ISIC_0025696_pred.npy
ISIC_0026492,akiec,bcc,0.45205748081207275,False,pred,500,ham10000/results/xai/rise/convnext-tiny_fold3/raw/failures/04_ISIC_0026492_pred.npy
ISIC_0026492,akiec,bcc,0.45205748081207275,False,true,500,ham10000/results/xai/rise/convnext-tiny_fold3/raw/failures/04_ISIC_0026492_true.npy
ISIC_0027884,akiec,bcc,0.7201753258705139,False,pred,500,ham10000/results/xai/rise/convnext-tiny_fold3/raw/failures/05_ISIC_0027884_pred.npy
ISIC_0027884,akiec,bcc,0.7201753258705139,False,true,500,ham10000/results/xai/rise/convnext-tiny_fold3/raw/failures/05_ISIC_0027884_true.npy
ISIC_0033866,akiec,bkl,0.9526095390319824,False,pred,500,ham10000/results/xai/rise/convnext-tiny_fold3/raw/failures/06_ISIC_0033866_pred.npy
ISIC_0033866,akiec,bkl,0.9526095390319824,False,true,500,ham10000/results/xai/rise/convnext-tiny_fold3/raw/failures/06_ISIC_0033866_true.npy
ISIC_0030233,bcc,bcc,0.27771899104118347,True,pred,500,ham10000/results/xai/rise/convnext-tiny_fold3/raw/correct/07_ISIC_0030233_pred.npy
ISIC_0031531,bcc,bcc,0.87826007604599,True,pred,500,ham10000/results/xai/rise/convnext-tiny_fold3/raw/correct/08_ISIC_0031531_pred.npy
ISIC_0032022,bcc,bcc,0.9493420720100403,True,pred,500,ham10000/results/xai/rise/convnext-tiny_fold3/raw/correct/09_ISIC_0032022_pred.npy
ISIC_0026593,bcc,bcc,0.9879982471466064,True,pred,500,ham10000/results/xai/rise/convnext-tiny_fold3/raw/correct/10_ISIC_0026593_pred.npy
ISIC_0028964,bcc,nv,0.3580377399921417,False,pred,500,ham10000/results/xai/rise/convnext-tiny_fold3/raw/failures/11_ISIC_0028964_pred.npy
ISIC_0028964,bcc,nv,0.3580377399921417,False,true,500,ham10000/results/xai/rise/convnext-tiny_fold3/raw/failures/11_ISIC_0028964_true.npy
ISIC_0027759,bcc,nv,0.5510835647583008,False,pred,500,ham10000/results/xai/rise/convnext-tiny_fold3/raw/failures/12_ISIC_0027759_pred.npy
ISIC_0027759,bcc,nv,0.5510835647583008,False,true,500,ham10000/results/xai/rise/convnext-tiny_fold3/raw/failures/12_ISIC_0027759_true.npy
ISIC_0029035,bcc,akiec,0.936504602432251,False,pred,500,ham10000/results/xai/rise/convnext-tiny_fold3/raw/failures/13_ISIC_0029035_pred.npy
ISIC_0029035,bcc,akiec,0.936504602432251,False,true,500,ham10000/results/xai/rise/convnext-tiny_fold3/raw/failures/13_ISIC_0029035_true.npy
ISIC_0024505,bkl,bkl,0.3000088036060333,True,pred,500,ham10000/results/xai/rise/convnext-tiny_fold3/raw/correct/14_ISIC_0024505_pred.npy
ISIC_0026861,bkl,bkl,0.8481700420379639,True,pred,500,ham10000/results/xai/rise/convnext-tiny_fold3/raw/correct/15_ISIC_0026861_pred.npy
ISIC_0031008,bkl,bkl,0.9508211016654968,True,pred,500,ham10000/results/xai/rise/convnext-tiny_fold3/raw/correct/16_ISIC_0031008_pred.npy
ISIC_0029195,bkl,bkl,0.9918688535690308,True,pred,500,ham10000/results/xai/rise/convnext-tiny_fold3/raw/correct/17_ISIC_0029195_pred.npy
ISIC_0025276,bkl,nv,0.365913450717926,False,pred,500,ham10000/results/xai/rise/convnext-tiny_fold3/raw/failures/18_ISIC_0025276_pred.npy
ISIC_0025276,bkl,nv,0.365913450717926,False,true,500,ham10000/results/xai/rise/convnext-tiny_fold3/raw/failures/18_ISIC_0025276_true.npy
ISIC_0024851,bkl,mel,0.7039041519165039,False,pred,500,ham10000/results/xai/rise/convnext-tiny_fold3/raw/failures/19_ISIC_0024851_pred.npy
ISIC_0024851,bkl,mel,0.7039041519165039,False,true,500,ham10000/results/xai/rise/convnext-tiny_fold3/raw/failures/19_ISIC_0024851_true.npy
ISIC_0026893,bkl,akiec,0.9812588095664978,False,pred,500,ham10000/results/xai/rise/convnext-tiny_fold3/raw/failures/20_ISIC_0026893_pred.npy
ISIC_0026893,bkl,akiec,0.9812588095664978,False,true,500,ham10000/results/xai/rise/convnext-tiny_fold3/raw/failures/20_ISIC_0026893_true.npy
ISIC_0027008,df,df,0.36619263887405396,True,pred,500,ham10000/results/xai/rise/convnext-tiny_fold3/raw/correct/21_ISIC_0027008_pred.npy
ISIC_0029973,df,df,0.9185516834259033,True,pred,500,ham10000/results/xai/rise/convnext-tiny_fold3/raw/correct/22_ISIC_0029973_pred.npy
ISIC_0027745,df,df,0.991693913936615,True,pred,500,ham10000/results/xai/rise/convnext-tiny_fold3/raw/correct/23_ISIC_0027745_pred.npy
ISIC_0033810,df,df,0.9940361976623535,True,pred,500,ham10000/results/xai/rise/convnext-tiny_fold3/raw/correct/24_ISIC_0033810_pred.npy
ISIC_0026417,df,df,0.9965875148773193,True,pred,500,ham10000/results/xai/rise/convnext-tiny_fold3/raw/correct/25_ISIC_0026417_pred.npy
ISIC_0031735,df,mel,0.5566438436508179,False,pred,500,ham10000/results/xai/rise/convnext-tiny_fold3/raw/failures/26_ISIC_0031735_pred.npy
ISIC_0031735,df,mel,0.5566438436508179,False,true,500,ham10000/results/xai/rise/convnext-tiny_fold3/raw/failures/26_ISIC_0031735_true.npy
ISIC_0028790,df,bcc,0.8459216952323914,False,pred,500,ham10000/results/xai/rise/convnext-tiny_fold3/raw/failures/27_ISIC_0028790_pred.npy
ISIC_0028790,df,bcc,0.8459216952323914,False,true,500,ham10000/results/xai/rise/convnext-tiny_fold3/raw/failures/27_ISIC_0028790_true.npy
ISIC_0025188,mel,mel,0.2793760895729065,True,pred,500,ham10000/results/xai/rise/convnext-tiny_fold3/raw/correct/28_ISIC_0025188_pred.npy
ISIC_0033559,mel,mel,0.6418245434761047,True,pred,500,ham10000/results/xai/rise/convnext-tiny_fold3/raw/correct/29_ISIC_0033559_pred.npy
ISIC_0033655,mel,mel,0.8165594935417175,True,pred,500,ham10000/results/xai/rise/convnext-tiny_fold3/raw/correct/30_ISIC_0033655_pred.npy
ISIC_0032917,mel,mel,0.9698606729507446,True,pred,500,ham10000/results/xai/rise/convnext-tiny_fold3/raw/correct/31_ISIC_0032917_pred.npy
ISIC_0032915,mel,vasc,0.30047035217285156,False,pred,500,ham10000/results/xai/rise/convnext-tiny_fold3/raw/failures/32_ISIC_0032915_pred.npy
ISIC_0032915,mel,vasc,0.30047035217285156,False,true,500,ham10000/results/xai/rise/convnext-tiny_fold3/raw/failures/32_ISIC_0032915_true.npy
ISIC_0028029,mel,nv,0.7226995825767517,False,pred,500,ham10000/results/xai/rise/convnext-tiny_fold3/raw/failures/33_ISIC_0028029_pred.npy
ISIC_0028029,mel,nv,0.7226995825767517,False,true,500,ham10000/results/xai/rise/convnext-tiny_fold3/raw/failures/33_ISIC_0028029_true.npy
ISIC_0031389,mel,nv,0.9714031219482422,False,pred,500,ham10000/results/xai/rise/convnext-tiny_fold3/raw/failures/34_ISIC_0031389_pred.npy
ISIC_0031389,mel,nv,0.9714031219482422,False,true,500,ham10000/results/xai/rise/convnext-tiny_fold3/raw/failures/34_ISIC_0031389_true.npy
ISIC_0029905,nv,nv,0.3593277335166931,True,pred,500,ham10000/results/xai/rise/convnext-tiny_fold3/raw/correct/35_ISIC_0029905_pred.npy
ISIC_0027273,nv,nv,0.9194390773773193,True,pred,500,ham10000/results/xai/rise/convnext-tiny_fold3/raw/correct/36_ISIC_0027273_pred.npy
ISIC_0027417,nv,nv,0.9417107701301575,True,pred,500,ham10000/results/xai/rise/convnext-tiny_fold3/raw/correct/37_ISIC_0027417_pred.npy
ISIC_0028281,nv,nv,0.9855654835700989,True,pred,500,ham10000/results/xai/rise/convnext-tiny_fold3/raw/correct/38_ISIC_0028281_pred.npy
ISIC_0033929,nv,mel,0.18569602072238922,False,pred,500,ham10000/results/xai/rise/convnext-tiny_fold3/raw/failures/39_ISIC_0033929_pred.npy
ISIC_0033929,nv,mel,0.18569602072238922,False,true,500,ham10000/results/xai/rise/convnext-tiny_fold3/raw/failures/39_ISIC_0033929_true.npy
ISIC_0028390,nv,mel,0.6120773553848267,False,pred,500,ham10000/results/xai/rise/convnext-tiny_fold3/raw/failures/40_ISIC_0028390_pred.npy
ISIC_0028390,nv,mel,0.6120773553848267,False,true,500,ham10000/results/xai/rise/convnext-tiny_fold3/raw/failures/40_ISIC_0028390_true.npy
ISIC_0026569,nv,bcc,0.964906632900238,False,pred,500,ham10000/results/xai/rise/convnext-tiny_fold3/raw/failures/41_ISIC_0026569_pred.npy
ISIC_0026569,nv,bcc,0.964906632900238,False,true,500,ham10000/results/xai/rise/convnext-tiny_fold3/raw/failures/41_ISIC_0026569_true.npy
ISIC_0026713,vasc,vasc,0.7262029051780701,True,pred,500,ham10000/results/xai/rise/convnext-tiny_fold3/raw/correct/42_ISIC_0026713_pred.npy
ISIC_0026490,vasc,vasc,0.9803383350372314,True,pred,500,ham10000/results/xai/rise/convnext-tiny_fold3/raw/correct/43_ISIC_0026490_pred.npy
ISIC_0033349,vasc,vasc,0.9877235889434814,True,pred,500,ham10000/results/xai/rise/convnext-tiny_fold3/raw/correct/44_ISIC_0033349_pred.npy
ISIC_0028680,vasc,vasc,0.9907496571540833,True,pred,500,ham10000/results/xai/rise/convnext-tiny_fold3/raw/correct/45_ISIC_0028680_pred.npy
ISIC_0026693,vasc,vasc,0.993298351764679,True,pred,500,ham10000/results/xai/rise/convnext-tiny_fold3/raw/correct/46_ISIC_0026693_pred.npy
ISIC_0031955,vasc,nv,0.9475328922271729,False,pred,500,ham10000/results/xai/rise/convnext-tiny_fold3/raw/failures/47_ISIC_0031955_pred.npy
ISIC_0031955,vasc,nv,0.9475328922271729,False,true,500,ham10000/results/xai/rise/convnext-tiny_fold3/raw/failures/47_ISIC_0031955_true.npy
ISIC_0025249,vasc,df,0.974579930305481,False,pred,500,ham10000/results/xai/rise/convnext-tiny_fold3/raw/failures/48_ISIC_0025249_pred.npy
ISIC_0025249,vasc,df,0.974579930305481,False,true,500,ham10000/results/xai/rise/convnext-tiny_fold3/raw/failures/48_ISIC_0025249_true.npy
